benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	  16603292 ns/op	   0.08 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29818 B/op	     315 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   1888288 ns/op	   0.68 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29625 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   1788808 ns/op	   0.72 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29564 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   1748529 ns/op	   0.74 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28532 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   1657529 ns/op	   0.78 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29204 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   1097475 ns/op	   1.17 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29632 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   1328458 ns/op	   0.97 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29737 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   1124004 ns/op	   1.15 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29632 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	   1869425 ns/op	   0.69 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29479 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   1095892 ns/op	   1.18 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22125 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   3508000 ns/op	   0.37 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   19911 B/op	     200 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   1058804 ns/op	   1.22 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22268 B/op	     212 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   1065921 ns/op	   1.21 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22120 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   1297433 ns/op	   0.99 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   21186 B/op	     206 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   2132000 ns/op	   0.60 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20612 B/op	     206 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   1437008 ns/op	   0.90 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22004 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   1855204 ns/op	   0.69 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   21894 B/op	     213 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   1170471 ns/op	   1.10 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   21954 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   2107196 ns/op	   0.61 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22122 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   1693733 ns/op	   0.76 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   21733 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   2757633 ns/op	   0.47 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   19297 B/op	     194 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   3785788 ns/op	   0.34 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   17688 B/op	     184 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   6913792 ns/op	   0.19 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   18652 B/op	     189 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   3416125 ns/op	   0.38 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   19538 B/op	     194 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   4597275 ns/op	   0.28 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   19653 B/op	     200 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   2662979 ns/op	   0.48 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20318 B/op	     205 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   3782133 ns/op	   0.34 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20272 B/op	     206 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   1821933 ns/op	   0.71 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20462 B/op	     205 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/raw-franz-go-16         	      10	   6668296 ns/op	   0.19 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   19871 B/op	     200 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   2776583 ns/op	   0.46 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   26706 B/op	     302 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   2294012 ns/op	   0.56 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29010 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   3405925 ns/op	   0.38 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   25476 B/op	     290 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   2887208 ns/op	   0.45 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28759 B/op	     312 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   2382271 ns/op	   0.54 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   27308 B/op	     302 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   1882029 ns/op	   0.68 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29176 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   3742675 ns/op	   0.34 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   25528 B/op	     286 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   3039442 ns/op	   0.42 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28720 B/op	     308 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   1820084 ns/op	   0.71 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28352 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	  11121954 ns/op	   0.12 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   25146 B/op	     285 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   1563254 ns/op	   0.82 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29092 B/op	     312 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   1882821 ns/op	   0.68 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28276 B/op	     308 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   3171100 ns/op	   0.41 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   26337 B/op	     291 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   3708279 ns/op	   0.35 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28816 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   5069879 ns/op	   0.25 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   27038 B/op	     302 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   2637879 ns/op	   0.49 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   27814 B/op	     302 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   2816588 ns/op	   0.46 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28056 B/op	     302 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   3402683 ns/op	   0.38 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   27809 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   3008384 ns/op	   0.43 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   27536 B/op	     301 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/golib-policy-16       	      10	   7265650 ns/op	   0.18 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   27420 B/op	     301 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   4191471 ns/op	   0.31 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20067 B/op	     200 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   3420017 ns/op	   0.38 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20020 B/op	     200 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   2680109 ns/op	   0.48 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20234 B/op	     200 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   4476508 ns/op	   0.29 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20923 B/op	     205 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   1991750 ns/op	   0.65 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20111 B/op	     200 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   1921204 ns/op	   0.67 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20546 B/op	     201 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   1883888 ns/op	   0.68 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20498 B/op	     200 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   2287204 ns/op	   0.56 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   18684 B/op	     189 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   1813475 ns/op	   0.71 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   21970 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   2010171 ns/op	   0.64 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   19844 B/op	     200 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   2495300 ns/op	   0.52 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   21150 B/op	     205 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   2700600 ns/op	   0.48 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   19865 B/op	     204 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   2816825 ns/op	   0.46 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   19288 B/op	     194 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   1407650 ns/op	   0.92 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20687 B/op	     205 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   2057654 ns/op	   0.63 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20171 B/op	     204 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   1641212 ns/op	   0.78 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   21725 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   1868975 ns/op	   0.69 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20657 B/op	     209 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   1314013 ns/op	   0.98 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   21970 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   1177096 ns/op	   1.09 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   21733 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/snappy/raw-franz-go-16       	      10	   2549754 ns/op	   0.51 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   20035 B/op	     200 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   1942367 ns/op	   4.35 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   32061 B/op	     312 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   1286771 ns/op	   6.57 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   34172 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   1212292 ns/op	   6.98 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   34432 B/op	     308 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   2383887 ns/op	   3.55 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30253 B/op	     298 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	    993396 ns/op	   8.51 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   32872 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   1371804 ns/op	   6.16 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   32433 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   1645787 ns/op	   5.14 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   31500 B/op	     301 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	    951050 ns/op	   8.89 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   35121 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   1579846 ns/op	   5.35 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   32264 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	    903125 ns/op	   9.36 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   33116 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   1173912 ns/op	   7.20 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   26635 B/op	     280 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   1038629 ns/op	   8.14 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   34902 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   1647996 ns/op	   5.13 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   31687 B/op	     302 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   1043538 ns/op	   8.10 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   31815 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   3590383 ns/op	   2.36 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   33016 B/op	     306 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   2353938 ns/op	   3.59 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   33065 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   1745754 ns/op	   4.84 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30119 B/op	     296 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   1637321 ns/op	   5.16 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   34862 B/op	     313 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   2713317 ns/op	   3.12 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   35311 B/op	     308 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/golib-policy-16        	      10	   3758029 ns/op	   2.25 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   34164 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	   2277975 ns/op	   3.71 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   25525 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	   5463034 ns/op	   1.55 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   25645 B/op	     205 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	    810446 ns/op	  10.43 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29287 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	   1597008 ns/op	   5.29 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   26545 B/op	     210 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	   2248358 ns/op	   3.76 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   23040 B/op	     189 allocs/op
