specification	assertion	requirement	source
wsdl-2.0-core	Schema-1066	WSDL20-XSD-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Schema-1066
wsdl-2.0-core	Schema-1070	WSDL20-XSD-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Schema-1070
wsdl-2.0-core	Schema-1075	WSDL20-XSD-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Schema-1075
wsdl-2.0-core	Schema-1076	WSDL20-XSD-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Schema-1076
wsdl-2.0-core	Service-1060	WSDL20-CORE-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Service-1060
wsdl-2.0-core	Types-1007	WSDL20-XSD-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Types-1007
wsdl-2.0-core	Types-1008	WSDL20-XSD-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Types-1008
wsdl-2.0-core	Types-1074	WSDL20-XSD-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Types-1074
wsdl-2.0-core	Types-1077	WSDL20-XSD-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Types-1077
wsdl-2.0-core	Types-1078	WSDL20-XSD-001	https://www.w3.org/TR/2007/REC-wsdl20-20070626/#Types-1078
wsdl-2.0-adjuncts	FaultDelivery-2008	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#FaultDelivery-2008
wsdl-2.0-adjuncts	FaultDelivery-2010	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#FaultDelivery-2010
wsdl-2.0-adjuncts	FaultPropagation-2003	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#FaultPropagation-2003
wsdl-2.0-adjuncts	FaultPropagation-2004	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#FaultPropagation-2004
wsdl-2.0-adjuncts	FaultPropagationModification-2005	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#FaultPropagationModification-2005
wsdl-2.0-adjuncts	FaultReplacesMessage-2007	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#FaultReplacesMessage-2007
wsdl-2.0-adjuncts	HTTPAccessAuthentication-2127	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPAccessAuthentication-2127
wsdl-2.0-adjuncts	HTTPBinding-2083	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBinding-2083
wsdl-2.0-adjuncts	HTTPBinding-2084	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBinding-2084
wsdl-2.0-adjuncts	HTTPBinding-2085	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBinding-2085
wsdl-2.0-adjuncts	HTTPBinding-2086	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBinding-2086
wsdl-2.0-adjuncts	HTTPBinding-2087	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBinding-2087
wsdl-2.0-adjuncts	HTTPBinding-2088	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBinding-2088
wsdl-2.0-adjuncts	HTTPBinding-2089	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBinding-2089
wsdl-2.0-adjuncts	HTTPBindingFault-2105	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBindingFault-2105
wsdl-2.0-adjuncts	HTTPBindingFault-2106	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBindingFault-2106
wsdl-2.0-adjuncts	HTTPBindingOperation-2093	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBindingOperation-2093
wsdl-2.0-adjuncts	HTTPBindingOperation-2095	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBindingOperation-2095
wsdl-2.0-adjuncts	HTTPBindingOperation-2100	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBindingOperation-2100
wsdl-2.0-adjuncts	HTTPBindingOperation-2101	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPBindingOperation-2101
wsdl-2.0-adjuncts	HTTPCookies-2126	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPCookies-2126
wsdl-2.0-adjuncts	HTTPHeader-2090	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPHeader-2090
wsdl-2.0-adjuncts	HTTPHeader-2092	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPHeader-2092
wsdl-2.0-adjuncts	HTTPHeader-2102	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPHeader-2102
wsdl-2.0-adjuncts	HTTPHeader-2103	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPHeader-2103
wsdl-2.0-adjuncts	HTTPHeader-2104	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPHeader-2104
wsdl-2.0-adjuncts	HTTPQueryString-2115	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPQueryString-2115
wsdl-2.0-adjuncts	HTTPQueryString-2116	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPQueryString-2116
wsdl-2.0-adjuncts	HTTPSerialization-2099	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2099
wsdl-2.0-adjuncts	HTTPSerialization-2106	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2106
wsdl-2.0-adjuncts	HTTPSerialization-2107	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2107
wsdl-2.0-adjuncts	HTTPSerialization-2108	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2108
wsdl-2.0-adjuncts	HTTPSerialization-2109	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2109
wsdl-2.0-adjuncts	HTTPSerialization-2111	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2111
wsdl-2.0-adjuncts	HTTPSerialization-2112	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2112
wsdl-2.0-adjuncts	HTTPSerialization-2113	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2113
wsdl-2.0-adjuncts	HTTPSerialization-2114	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2114
wsdl-2.0-adjuncts	HTTPSerialization-2117	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2117
wsdl-2.0-adjuncts	HTTPSerialization-2118	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2118
wsdl-2.0-adjuncts	HTTPSerialization-2119	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2119
wsdl-2.0-adjuncts	HTTPSerialization-2120	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2120
wsdl-2.0-adjuncts	HTTPSerialization-2122	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2122
wsdl-2.0-adjuncts	HTTPSerialization-2123	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2123
wsdl-2.0-adjuncts	HTTPSerialization-2124	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2124
wsdl-2.0-adjuncts	HTTPSerialization-2125	WSDL20-HTTP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#HTTPSerialization-2125
wsdl-2.0-adjuncts	InOnlyComposition-2012	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#InOnlyComposition-2012
wsdl-2.0-adjuncts	InOnlyFaults-2013	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#InOnlyFaults-2013
wsdl-2.0-adjuncts	InOutComposition-2015	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#InOutComposition-2015
wsdl-2.0-adjuncts	InOutFaults-2016	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#InOutFaults-2016
wsdl-2.0-adjuncts	InterfaceOperation-2096	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#InterfaceOperation-2096
wsdl-2.0-adjuncts	InterfaceOperation-2097	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#InterfaceOperation-2097
wsdl-2.0-adjuncts	IRIStyle-2051	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#IRIStyle-2051
wsdl-2.0-adjuncts	IRIStyle-2052	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#IRIStyle-2052
wsdl-2.0-adjuncts	IRIStyle-2053	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#IRIStyle-2053
wsdl-2.0-adjuncts	IRIStyle-2054	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#IRIStyle-2054
wsdl-2.0-adjuncts	IRIStyle-2055	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#IRIStyle-2055
wsdl-2.0-adjuncts	IRIStyle-2056	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#IRIStyle-2056
wsdl-2.0-adjuncts	MEPDescriptiveness-2002	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#MEPDescriptiveness-2002
wsdl-2.0-adjuncts	MEPTermination-2006	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#MEPTermination-2006
wsdl-2.0-adjuncts	MessageTriggersFault-2009	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#MessageTriggersFault-2009
wsdl-2.0-adjuncts	MultipartStyle-2057	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#MultipartStyle-2057
wsdl-2.0-adjuncts	MultipartStyle-2058	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#MultipartStyle-2058
wsdl-2.0-adjuncts	MultipartStyle-2059	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#MultipartStyle-2059
wsdl-2.0-adjuncts	MultipartStyle-2060	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#MultipartStyle-2060
wsdl-2.0-adjuncts	MultipartStyle-2061	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#MultipartStyle-2061
wsdl-2.0-adjuncts	MultipartStyle-2062	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#MultipartStyle-2062
wsdl-2.0-adjuncts	MultipartStyle-2063	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#MultipartStyle-2063
wsdl-2.0-adjuncts	NodeIdentity-2001	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#NodeIdentity-2001
wsdl-2.0-adjuncts	NoFaults-2011	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#NoFaults-2011
wsdl-2.0-adjuncts	OperationSafety-2027	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#OperationSafety-2027
wsdl-2.0-adjuncts	OperationSafety-2028	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#OperationSafety-2028
wsdl-2.0-adjuncts	RobustInOnlyComposition-2013	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RobustInOnlyComposition-2013
wsdl-2.0-adjuncts	RobustInOnlyFaults-2014	WSDL20-MEP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RobustInOnlyFaults-2014
wsdl-2.0-adjuncts	RPCStyle-2029	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2029
wsdl-2.0-adjuncts	RPCStyle-2030	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2030
wsdl-2.0-adjuncts	RPCStyle-2031	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2031
wsdl-2.0-adjuncts	RPCStyle-2032	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2032
wsdl-2.0-adjuncts	RPCStyle-2033	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2033
wsdl-2.0-adjuncts	RPCStyle-2034	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2034
wsdl-2.0-adjuncts	RPCStyle-2035	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2035
wsdl-2.0-adjuncts	RPCStyle-2036	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2036
wsdl-2.0-adjuncts	RPCStyle-2037	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2037
wsdl-2.0-adjuncts	RPCStyle-2038	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2038
wsdl-2.0-adjuncts	RPCStyle-2039	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2039
wsdl-2.0-adjuncts	RPCStyle-2040	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2040
wsdl-2.0-adjuncts	RPCStyle-2041	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#RPCStyle-2041
wsdl-2.0-adjuncts	SOAPAction-2075	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPAction-2075
wsdl-2.0-adjuncts	SOAPBinding-2065	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPBinding-2065
wsdl-2.0-adjuncts	SOAPBinding-2066	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPBinding-2066
wsdl-2.0-adjuncts	SOAPBinding-2067	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPBinding-2067
wsdl-2.0-adjuncts	SOAPBinding-2068	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPBinding-2068
wsdl-2.0-adjuncts	SOAPBinding-2069	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPBinding-2069
wsdl-2.0-adjuncts	SOAPBinding-2070	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPBinding-2070
wsdl-2.0-adjuncts	SOAPBindingFault-2071	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPBindingFault-2071
