benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	  24325334 ns/op	   0.06 MB/s	        10.00 records/op	  156608 B/op	    1311 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  15005167 ns/op	   0.10 MB/s	        10.00 records/op	  152008 B/op	    1256 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  29739208 ns/op	   0.05 MB/s	        10.00 records/op	  150416 B/op	    1248 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  13815541 ns/op	   0.11 MB/s	        10.00 records/op	  150512 B/op	    1251 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/raw-franz-go-16         	       1	  10805959 ns/op	   0.14 MB/s	        10.00 records/op	  151376 B/op	    1256 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 390108417 ns/op	   0.00 MB/s	        10.00 records/op	  147928 B/op	     661 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 386765458 ns/op	   0.00 MB/s	        10.00 records/op	  144560 B/op	     624 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 399019667 ns/op	   0.00 MB/s	        10.00 records/op	   81928 B/op	     656 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 394049333 ns/op	   0.00 MB/s	        10.00 records/op	  151168 B/op	     700 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 391672084 ns/op	   0.00 MB/s	        10.00 records/op	   81944 B/op	     656 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 385649916 ns/op	   0.00 MB/s	        10.00 records/op	  216560 B/op	     700 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 402413042 ns/op	   0.00 MB/s	        10.00 records/op	  146248 B/op	     631 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 401469625 ns/op	   0.00 MB/s	        10.00 records/op	  150832 B/op	     696 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 421871250 ns/op	   0.00 MB/s	        10.00 records/op	   85488 B/op	     695 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 468323375 ns/op	   0.00 MB/s	        10.00 records/op	  213608 B/op	     666 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 390629458 ns/op	   0.00 MB/s	        10.00 records/op	  140904 B/op	     582 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 398129042 ns/op	   0.00 MB/s	        10.00 records/op	  154952 B/op	     739 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 392130792 ns/op	   0.00 MB/s	        10.00 records/op	   82280 B/op	     660 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 384355375 ns/op	   0.00 MB/s	        10.00 records/op	   78976 B/op	     622 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 389374916 ns/op	   0.00 MB/s	        10.00 records/op	  214424 B/op	     677 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 391077750 ns/op	   0.00 MB/s	        10.00 records/op	  151824 B/op	     709 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 397912250 ns/op	   0.00 MB/s	        10.00 records/op	   78624 B/op	     618 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 390858083 ns/op	   0.00 MB/s	        10.00 records/op	  216992 B/op	     705 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 392692792 ns/op	   0.00 MB/s	        10.00 records/op	   81992 B/op	     657 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/kafka-go-16             	       1	 388348708 ns/op	   0.00 MB/s	        10.00 records/op	  150976 B/op	     698 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 616516458 ns/op	   0.00 MB/s	        10.00 records/op	  245032 B/op	     948 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 658971750 ns/op	   0.00 MB/s	        10.00 records/op	  244464 B/op	     941 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 695229625 ns/op	   0.00 MB/s	        10.00 records/op	  243752 B/op	     944 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 607893084 ns/op	   0.00 MB/s	        10.00 records/op	  243288 B/op	     939 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 640944708 ns/op	   0.00 MB/s	        10.00 records/op	  244032 B/op	     942 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 631077917 ns/op	   0.00 MB/s	        10.00 records/op	  243520 B/op	     941 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 747520167 ns/op	   0.00 MB/s	        10.00 records/op	  243272 B/op	     938 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 682235708 ns/op	   0.00 MB/s	        10.00 records/op	  247048 B/op	     957 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 627443375 ns/op	   0.00 MB/s	        10.00 records/op	  243400 B/op	     940 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 615018167 ns/op	   0.00 MB/s	        10.00 records/op	  245488 B/op	     946 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 721863375 ns/op	   0.00 MB/s	        10.00 records/op	  243752 B/op	     939 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 659798625 ns/op	   0.00 MB/s	        10.00 records/op	  243736 B/op	     943 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 622358708 ns/op	   0.00 MB/s	        10.00 records/op	  243336 B/op	     940 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 629568291 ns/op	   0.00 MB/s	        10.00 records/op	  243752 B/op	     943 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 626614000 ns/op	   0.00 MB/s	        10.00 records/op	  243272 B/op	     938 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 610282875 ns/op	   0.00 MB/s	        10.00 records/op	  243272 B/op	     938 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 722993917 ns/op	   0.00 MB/s	        10.00 records/op	  243520 B/op	     941 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 625261917 ns/op	   0.00 MB/s	        10.00 records/op	  243584 B/op	     942 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 666037167 ns/op	   0.00 MB/s	        10.00 records/op	  243504 B/op	     940 allocs/op
BenchmarkEquivalentReplay/10-records/128B/none/sarama-16               	       1	 629352709 ns/op	   0.00 MB/s	        10.00 records/op	  244464 B/op	     942 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	   6197458 ns/op	   0.24 MB/s	        10.00 records/op	  165968 B/op	    1310 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	   5379208 ns/op	   0.28 MB/s	        10.00 records/op	  167696 B/op	    1316 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	   5548917 ns/op	   0.27 MB/s	        10.00 records/op	  155856 B/op	    1302 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	   8071459 ns/op	   0.19 MB/s	        10.00 records/op	  156496 B/op	    1307 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	  13251542 ns/op	   0.11 MB/s	        10.00 records/op	  164528 B/op	    1306 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	   6841542 ns/op	   0.22 MB/s	        10.00 records/op	  163112 B/op	    1303 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	  32331625 ns/op	   0.05 MB/s	        10.00 records/op	  164064 B/op	    1303 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	  12837042 ns/op	   0.12 MB/s	        10.00 records/op	  164096 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	  17888417 ns/op	   0.08 MB/s	        10.00 records/op	  164384 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	   9957750 ns/op	   0.15 MB/s	        10.00 records/op	  156320 B/op	    1305 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	   9968875 ns/op	   0.15 MB/s	        10.00 records/op	  163976 B/op	    1309 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	  28341541 ns/op	   0.05 MB/s	        10.00 records/op	  156272 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	  14314250 ns/op	   0.11 MB/s	        10.00 records/op	  164464 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	  35382625 ns/op	   0.04 MB/s	        10.00 records/op	  164624 B/op	    1308 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	  14529625 ns/op	   0.10 MB/s	        10.00 records/op	  164976 B/op	    1309 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	  22801834 ns/op	   0.07 MB/s	        10.00 records/op	  165120 B/op	    1307 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	   5586958 ns/op	   0.27 MB/s	        10.00 records/op	  163480 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	   6018625 ns/op	   0.25 MB/s	        10.00 records/op	  164528 B/op	    1306 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	  90142000 ns/op	   0.02 MB/s	        10.00 records/op	  156272 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/golib-policy-16       	       1	  11902000 ns/op	   0.13 MB/s	        10.00 records/op	  164880 B/op	    1311 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  25460417 ns/op	   0.06 MB/s	        10.00 records/op	  159488 B/op	    1252 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  10329833 ns/op	   0.15 MB/s	        10.00 records/op	  160280 B/op	    1255 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  14917209 ns/op	   0.10 MB/s	        10.00 records/op	  151408 B/op	    1253 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  16121459 ns/op	   0.09 MB/s	        10.00 records/op	  159200 B/op	    1252 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  12381584 ns/op	   0.12 MB/s	        10.00 records/op	  159200 B/op	    1252 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  11201833 ns/op	   0.13 MB/s	        10.00 records/op	  160560 B/op	    1263 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  12474833 ns/op	   0.12 MB/s	        10.00 records/op	  151088 B/op	    1251 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  12491542 ns/op	   0.12 MB/s	        10.00 records/op	  159664 B/op	    1256 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	   9318250 ns/op	   0.16 MB/s	        10.00 records/op	  159200 B/op	    1252 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	   9256708 ns/op	   0.16 MB/s	        10.00 records/op	  150960 B/op	    1250 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  13567791 ns/op	   0.11 MB/s	        10.00 records/op	  159648 B/op	    1255 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  17989709 ns/op	   0.08 MB/s	        10.00 records/op	  150960 B/op	    1250 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  13947291 ns/op	   0.11 MB/s	        10.00 records/op	  151616 B/op	    1255 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  13233875 ns/op	   0.11 MB/s	        10.00 records/op	  160280 B/op	    1255 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  30958541 ns/op	   0.05 MB/s	        10.00 records/op	  159376 B/op	    1254 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  30867125 ns/op	   0.05 MB/s	        10.00 records/op	  160096 B/op	    1258 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  17749250 ns/op	   0.09 MB/s	        10.00 records/op	  160112 B/op	    1258 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  22440833 ns/op	   0.07 MB/s	        10.00 records/op	  150832 B/op	    1248 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  19874209 ns/op	   0.08 MB/s	        10.00 records/op	  159488 B/op	    1252 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/raw-franz-go-16       	       1	  47188750 ns/op	   0.03 MB/s	        10.00 records/op	  160032 B/op	    1256 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 415443292 ns/op	   0.00 MB/s	        10.00 records/op	  252216 B/op	     729 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 388924208 ns/op	   0.00 MB/s	        10.00 records/op	  182072 B/op	     676 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 405758084 ns/op	   0.00 MB/s	        10.00 records/op	  242712 B/op	     623 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 403837750 ns/op	   0.00 MB/s	        10.00 records/op	  252216 B/op	     729 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 383957958 ns/op	   0.00 MB/s	        10.00 records/op	  261736 B/op	     835 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 415250500 ns/op	   0.00 MB/s	        10.00 records/op	   83256 B/op	     668 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 433240250 ns/op	   0.00 MB/s	        10.00 records/op	  195976 B/op	     831 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 383895625 ns/op	   0.00 MB/s	        10.00 records/op	   83608 B/op	     672 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 535067125 ns/op	   0.00 MB/s	        10.00 records/op	  247512 B/op	     677 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 396877916 ns/op	   0.00 MB/s	        10.00 records/op	  187128 B/op	     734 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 384764208 ns/op	   0.00 MB/s	        10.00 records/op	   83256 B/op	     668 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 431807542 ns/op	   0.00 MB/s	        10.00 records/op	  153768 B/op	     725 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 413129958 ns/op	   0.00 MB/s	        10.00 records/op	   88008 B/op	     721 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 405967708 ns/op	   0.00 MB/s	        10.00 records/op	  247464 B/op	     676 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 418344833 ns/op	   0.00 MB/s	        10.00 records/op	  186824 B/op	     729 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 407251958 ns/op	   0.00 MB/s	        10.00 records/op	  243864 B/op	     624 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 390611917 ns/op	   0.00 MB/s	        10.00 records/op	   97512 B/op	     827 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 408315583 ns/op	   0.00 MB/s	        10.00 records/op	  252264 B/op	     730 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 470384500 ns/op	   0.00 MB/s	        10.00 records/op	  182728 B/op	     699 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/kafka-go-16           	       1	 495819416 ns/op	   0.00 MB/s	        10.00 records/op	  149016 B/op	     672 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 644920291 ns/op	   0.00 MB/s	        10.00 records/op	  244672 B/op	     953 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 623158834 ns/op	   0.00 MB/s	        10.00 records/op	  244456 B/op	     952 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 623285958 ns/op	   0.00 MB/s	        10.00 records/op	  244888 B/op	     954 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 647377167 ns/op	   0.00 MB/s	        10.00 records/op	  244440 B/op	     951 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 654114791 ns/op	   0.00 MB/s	        10.00 records/op	  244688 B/op	     954 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 616673875 ns/op	   0.00 MB/s	        10.00 records/op	  244488 B/op	     952 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 619088334 ns/op	   0.00 MB/s	        10.00 records/op	  244568 B/op	     953 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 620068958 ns/op	   0.00 MB/s	        10.00 records/op	  244480 B/op	     953 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 648692208 ns/op	   0.00 MB/s	        10.00 records/op	  244680 B/op	     954 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 646873750 ns/op	   0.00 MB/s	        10.00 records/op	  244920 B/op	     956 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 628371000 ns/op	   0.00 MB/s	        10.00 records/op	  244440 B/op	     951 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 645105833 ns/op	   0.00 MB/s	        10.00 records/op	  244456 B/op	     952 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 645812042 ns/op	   0.00 MB/s	        10.00 records/op	  244688 B/op	     954 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 656106500 ns/op	   0.00 MB/s	        10.00 records/op	  244456 B/op	     952 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 636988292 ns/op	   0.00 MB/s	        10.00 records/op	  244688 B/op	     955 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 879553833 ns/op	   0.00 MB/s	        10.00 records/op	  244456 B/op	     952 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 628796500 ns/op	   0.00 MB/s	        10.00 records/op	  244440 B/op	     951 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 625430833 ns/op	   0.00 MB/s	        10.00 records/op	  244672 B/op	     954 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 633230791 ns/op	   0.00 MB/s	        10.00 records/op	  244688 B/op	     954 allocs/op
BenchmarkEquivalentReplay/10-records/128B/snappy/sarama-16             	       1	 625822833 ns/op	   0.00 MB/s	        10.00 records/op	  244712 B/op	     955 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  23389500 ns/op	   0.45 MB/s	        10.00 records/op	  164896 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  16550792 ns/op	   0.63 MB/s	        10.00 records/op	  164928 B/op	    1306 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  40375667 ns/op	   0.26 MB/s	        10.00 records/op	  163104 B/op	    1302 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  28821916 ns/op	   0.36 MB/s	        10.00 records/op	  166600 B/op	    1313 allocs/op
