benchmark-tls-broker-runtime=Apache Kafka 4.3.1 OpenSSL 3.5.7 TLS 1.3
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16         	      10	   3736983 ns/op	   0.03 MB/s	    5212 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16         	      10	   2896588 ns/op	   0.04 MB/s	    4916 B/op	      62 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16         	      10	  31249762 ns/op	   0.00 MB/s	    4543 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16               	      10	  13127233 ns/op	   0.01 MB/s	    6219 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16               	      10	  12284838 ns/op	   0.01 MB/s	    6273 B/op	      97 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16               	      10	   7182458 ns/op	   0.02 MB/s	    6128 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16               	      10	  10254038 ns/op	   0.01 MB/s	    6144 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16               	      10	  19236225 ns/op	   0.01 MB/s	    6139 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16               	      10	   8661225 ns/op	   0.01 MB/s	    6180 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16               	      10	  17147738 ns/op	   0.01 MB/s	    6134 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16               	      10	   9108954 ns/op	   0.01 MB/s	    6150 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16               	      10	  15962917 ns/op	   0.01 MB/s	    6167 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16               	      10	   9953867 ns/op	   0.01 MB/s	    6129 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16        	      10	   2534062 ns/op	   0.40 MB/s	    6904 B/op	      72 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16        	      10	   1860017 ns/op	   0.55 MB/s	    6670 B/op	      72 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16        	      10	   1071758 ns/op	   0.96 MB/s	    6540 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16        	      10	   1266838 ns/op	   0.81 MB/s	    6679 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16        	      10	   9033079 ns/op	   0.11 MB/s	    6523 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16        	      10	   5783150 ns/op	   0.18 MB/s	    6670 B/op	      72 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16        	      10	   4435654 ns/op	   0.23 MB/s	    6433 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16        	      10	   2164304 ns/op	   0.47 MB/s	    7165 B/op	      72 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16        	      10	   2890071 ns/op	   0.35 MB/s	    6928 B/op	      72 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16        	      10	   4079325 ns/op	   0.25 MB/s	    6435 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16        	      10	   6458075 ns/op	   0.16 MB/s	    4756 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16        	      10	   1629412 ns/op	   0.63 MB/s	    4676 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16        	      10	   7859325 ns/op	   0.13 MB/s	    4699 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16        	      10	   2129450 ns/op	   0.48 MB/s	    4780 B/op	      61 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16        	      10	   5286404 ns/op	   0.19 MB/s	    4697 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16        	      10	   7745496 ns/op	   0.13 MB/s	    4757 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16        	      10	   4360158 ns/op	   0.23 MB/s	    4686 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16        	      10	   2398412 ns/op	   0.43 MB/s	    4522 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16        	      10	   5048583 ns/op	   0.20 MB/s	    4757 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16        	      10	   6783112 ns/op	   0.15 MB/s	    4779 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16              	      10	  13129154 ns/op	   0.08 MB/s	    8057 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16              	      10	  15903346 ns/op	   0.06 MB/s	    8048 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16              	      10	  14568233 ns/op	   0.07 MB/s	    8062 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16              	      10	  13561462 ns/op	   0.08 MB/s	    8048 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16              	      10	  20509462 ns/op	   0.05 MB/s	    8064 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16              	      10	  11001633 ns/op	   0.09 MB/s	    8057 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16              	      10	  12444312 ns/op	   0.08 MB/s	    8178 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16              	      10	  24406162 ns/op	   0.04 MB/s	    8079 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16              	      10	  14549071 ns/op	   0.07 MB/s	    8072 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16              	      10	  12035096 ns/op	   0.09 MB/s	    8049 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16   	      10	   4139279 ns/op	   0.03 MB/s	    5184 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16   	      10	   4522267 ns/op	   0.03 MB/s	    5335 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16   	      10	   1993471 ns/op	   0.06 MB/s	    5473 B/op	      72 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16   	      10	   2213604 ns/op	   0.06 MB/s	    5341 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16   	      10	   7079746 ns/op	   0.02 MB/s	    5207 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16   	      10	   2649742 ns/op	   0.05 MB/s	    5207 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16   	      10	   1244029 ns/op	   0.10 MB/s	    5313 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16   	      10	   2254921 ns/op	   0.06 MB/s	    5429 B/op	      72 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16   	      10	   2925912 ns/op	   0.04 MB/s	    5406 B/op	      72 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16   	      10	   1170804 ns/op	   0.11 MB/s	    5232 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16   	      10	   1308233 ns/op	   0.10 MB/s	    4543 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16   	      10	   1699425 ns/op	   0.08 MB/s	    4368 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16   	      10	   1742308 ns/op	   0.07 MB/s	    4520 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16   	      10	   1422479 ns/op	   0.09 MB/s	    4368 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16   	      10	   6199700 ns/op	   0.02 MB/s	    4472 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16   	      10	   5884096 ns/op	   0.02 MB/s	    4372 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16   	      10	   2601821 ns/op	   0.05 MB/s	    4738 B/op	      61 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16   	      10	  23114146 ns/op	   0.01 MB/s	    4368 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16   	      10	   3547388 ns/op	   0.04 MB/s	    4345 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16   	      10	   3687979 ns/op	   0.03 MB/s	    4543 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16         	      10	  15126712 ns/op	   0.01 MB/s	    6187 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16         	      10	  14115225 ns/op	   0.01 MB/s	    6233 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16         	      10	   9655492 ns/op	   0.01 MB/s	    6222 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16         	      10	  18475467 ns/op	   0.01 MB/s	    6182 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16         	      10	  19775612 ns/op	   0.01 MB/s	    6190 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16         	      10	  14999958 ns/op	   0.01 MB/s	    6185 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16         	      10	  21674354 ns/op	   0.01 MB/s	    6185 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16         	      10	   9631625 ns/op	   0.01 MB/s	    6312 B/op	      97 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16         	      10	  17235192 ns/op	   0.01 MB/s	    6182 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16         	      10	   9947583 ns/op	   0.01 MB/s	    6190 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16  	      10	   2729683 ns/op	   0.38 MB/s	    6538 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16  	      10	   1168112 ns/op	   0.88 MB/s	    6256 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16  	      10	   2820433 ns/op	   0.36 MB/s	    6648 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16  	      10	  11806408 ns/op	   0.09 MB/s	    6280 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16  	      10	   2266642 ns/op	   0.45 MB/s	    6363 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16  	      10	   1784821 ns/op	   0.57 MB/s	    6386 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16  	      10	   1551738 ns/op	   0.66 MB/s	    6540 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16  	      10	   4259096 ns/op	   0.24 MB/s	    6233 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16  	      10	   1826442 ns/op	   0.56 MB/s	    6433 B/op	      71 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16  	      10	   1882454 ns/op	   0.54 MB/s	    6824 B/op	      72 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16  	      10	   5481275 ns/op	   0.19 MB/s	    4934 B/op	      61 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16  	      10	   2854946 ns/op	   0.36 MB/s	    4520 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16  	      10	   2212654 ns/op	   0.46 MB/s	    5062 B/op	      61 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16  	      10	   2855025 ns/op	   0.36 MB/s	    4908 B/op	      61 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16  	      10	   5424400 ns/op	   0.19 MB/s	    5216 B/op	      61 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16  	      10	   2372858 ns/op	   0.43 MB/s	    4650 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16  	      10	   3132025 ns/op	   0.33 MB/s	    4497 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16  	      10	  10959708 ns/op	   0.09 MB/s	    4674 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16  	      10	  16747875 ns/op	   0.06 MB/s	    4544 B/op	      60 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16  	      10	  14669246 ns/op	   0.07 MB/s	    4934 B/op	      61 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16        	      10	  27946696 ns/op	   0.04 MB/s	    8235 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16        	      10	  21597475 ns/op	   0.05 MB/s	    8233 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16        	      10	  46665675 ns/op	   0.02 MB/s	    8263 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16        	      10	  12033342 ns/op	   0.09 MB/s	    8235 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16        	      10	  11828871 ns/op	   0.09 MB/s	    8104 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16        	      10	  11948629 ns/op	   0.09 MB/s	    8256 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16        	      10	  15780308 ns/op	   0.06 MB/s	    8096 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16        	      10	  16933304 ns/op	   0.06 MB/s	    8257 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16        	      10	  17242121 ns/op	   0.06 MB/s	    8390 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16        	      10	  16590108 ns/op	   0.06 MB/s	    8115 B/op	      96 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16             	      10	 193494512 ns/op	         1.000 connections/op	  435027 B/op	    3018 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16             	      10	 504511337 ns/op	         1.000 connections/op	  435646 B/op	    3006 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16             	      10	 202221867 ns/op	         1.000 connections/op	  435462 B/op	    3010 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16             	      10	 132057783 ns/op	         1.000 connections/op	  431426 B/op	    2993 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16             	      10	 107773996 ns/op	         1.000 connections/op	  433072 B/op	    3005 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16             	      10	  88414646 ns/op	         1.000 connections/op	  432237 B/op	    2997 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16             	      10	  90240433 ns/op	         1.000 connections/op	  433703 B/op	    2998 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16             	      10	 154886600 ns/op	         1.000 connections/op	  433676 B/op	    3006 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16             	      10	 178191342 ns/op	         1.000 connections/op	  430482 B/op	    2992 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16             	      10	  92891342 ns/op	         1.000 connections/op	  431941 B/op	    3009 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16             	      10	 148125754 ns/op	         1.000 connections/op	  401043 B/op	    2610 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16             	      10	 207206312 ns/op	         1.000 connections/op	  403243 B/op	    2621 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16             	      10	  69609542 ns/op	         1.000 connections/op	  405206 B/op	    2628 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16             	      10	  60501621 ns/op	         1.000 connections/op	  402390 B/op	    2613 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16             	      10	  87690946 ns/op	         1.000 connections/op	  403322 B/op	    2616 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16             	      10	  82860450 ns/op	         1.000 connections/op	  402317 B/op	    2620 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16             	      10	  48666838 ns/op	         1.000 connections/op	  401841 B/op	    2619 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16             	      10	  62126179 ns/op	         1.000 connections/op	  401527 B/op	    2612 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16             	      10	  61757917 ns/op	         1.000 connections/op	  403774 B/op	    2616 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16             	      10	  88121712 ns/op	         1.000 connections/op	  402938 B/op	    2613 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                   	      10	  60801471 ns/op	         1.000 connections/op	  870267 B/op	    5427 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                   	      10	  67356221 ns/op	         1.000 connections/op	  873422 B/op	    5464 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                   	      10	  47464458 ns/op	         1.000 connections/op	  878077 B/op	    5523 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                   	      10	  95189946 ns/op	         1.000 connections/op	  872974 B/op	    5511 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                   	      10	  79527204 ns/op	         1.000 connections/op	  874648 B/op	    5537 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                   	      10	  67535604 ns/op	         1.000 connections/op	  878868 B/op	    5561 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                   	      10	  49321225 ns/op	         1.000 connections/op	  879247 B/op	    5578 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                   	      10	  69251708 ns/op	         1.000 connections/op	  878005 B/op	    5615 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                   	      10	  58121075 ns/op	         1.000 connections/op	  884178 B/op	    5646 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                   	      10	  56862338 ns/op	         1.000 connections/op	  883765 B/op	    5658 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16       	      10	 132264762 ns/op	         1.000 connections/op	  398288 B/op	    2723 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16       	      10	 119419212 ns/op	         1.000 connections/op	  396362 B/op	    2714 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16       	      10	 223949800 ns/op	         1.000 connections/op	  396076 B/op	    2712 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16       	      10	 166719533 ns/op	         1.000 connections/op	  395728 B/op	    2710 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16       	      10	 122601300 ns/op	         1.000 connections/op	  398902 B/op	    2732 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16       	      10	  94579546 ns/op	         1.000 connections/op	  396140 B/op	    2720 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16       	      10	  76543029 ns/op	         1.000 connections/op	  397159 B/op	    2713 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16       	      10	  87665808 ns/op	         1.000 connections/op	  395486 B/op	    2712 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16       	      10	 133750567 ns/op	         1.000 connections/op	  395604 B/op	    2709 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16       	      10	  90661508 ns/op	         1.000 connections/op	  396672 B/op	    2720 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/sasl-plain/raw-franz-go-16       	      10	 122008017 ns/op	         1.000 connections/op	  388917 B/op	    2632 allocs/op
BenchmarkEquivalentAuthenticatedConnectProduceClose/sasl-plain/raw-franz-go-16       	      10	 127240396 ns/op	         1.000 connections/op	  392443 B/op	    2647 allocs/op
